Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
delay(1),Chrome 90.0.4430.93,,,2021-05-10 23:49:55,2021-05-10 23:49:56,1.009s,PASSED
"click(findTestObject(""Object Repository/PositiveSignIn/Page_Login - CAS  Central Authentication Service/p_Please, verify the URL for this page begi_d9f5fa""))",Chrome 90.0.4430.93,,,2021-05-10 23:49:56,2021-05-10 23:49:57,0.470s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-10 23:49:57,2021-05-10 23:49:58,1.016s,PASSED
"click(findTestObject(""Object Repository/PositiveSignIn/Page_Login - CAS  Central Authentication Service/input_Remember Me_submit""))",Chrome 90.0.4430.93,,,2021-05-10 23:49:58,2021-05-10 23:50:01,3.096s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-10 23:50:01,2021-05-10 23:50:02,1.005s,PASSED
"click(findTestObject(""Object Repository/PositiveSignIn/Page_Dashboard/body_Skip to main contentCDATAdocument.body_695f45""))",Chrome 90.0.4430.93,,,2021-05-10 23:50:02,2021-05-10 23:50:02,0.644s,FAILED
,,,,,,,
Test Cases/AddingBlog,Chrome 90.0.4430.93,,,2021-05-10 23:50:02,2021-05-10 23:50:33,30.616s,FAILED
"openBrowser("""")",Chrome 90.0.4430.93,,,2021-05-10 23:50:03,2021-05-10 23:50:06,3.363s,PASSED
"navigateToUrl(""https://sucourse.sabanciuniv.edu/plus/"")",Chrome 90.0.4430.93,,,2021-05-10 23:50:06,2021-05-10 23:50:10,3.673s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-10 23:50:10,2021-05-10 23:50:11,1.011s,PASSED
"click(findTestObject(""Object Repository/AddingBlog/Page_SUCourse/a_Login""))",Chrome 90.0.4430.93,,,2021-05-10 23:50:11,2021-05-10 23:50:12,1.103s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-10 23:50:12,2021-05-10 23:50:13,1.004s,PASSED
"click(findTestObject(""Object Repository/AddingBlog/Page_SUCourse Authentication choice/a_SUNet users (Sabanc University members)""))",Chrome 90.0.4430.93,,,2021-05-10 23:50:13,2021-05-10 23:50:16,2.519s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-10 23:50:16,2021-05-10 23:50:17,1.012s,PASSED
"setText(findTestObject(""Object Repository/AddingBlog/Page_Login - CAS  Central Authentication Service/input_U_username""), ""mohamedkassem"")",Chrome 90.0.4430.93,,,2021-05-10 23:50:17,2021-05-10 23:50:18,0.849s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-10 23:50:18,2021-05-10 23:50:19,1.014s,PASSED
"setEncryptedText(findTestObject(""Object Repository/AddingBlog/Page_Login - CAS  Central Authentication Service/input_P_password""), ""lsh4UT/KYs157Zjg3xgr3w=="")",Chrome 90.0.4430.93,,,2021-05-10 23:50:19,2021-05-10 23:50:19,0.540s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-10 23:50:19,2021-05-10 23:50:20,1.019s,PASSED
"click(findTestObject(""Object Repository/AddingBlog/Page_Login - CAS  Central Authentication Service/input_Remember Me_submit""))",Chrome 90.0.4430.93,,,2021-05-10 23:50:20,2021-05-10 23:50:23,2.765s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-10 23:50:23,2021-05-10 23:50:24,1.013s,PASSED
"click(findTestObject(""Object Repository/AddingBlog/Page_Dashboard/img_Log out_welcome_userpicture""))",Chrome 90.0.4430.93,,,2021-05-10 23:50:24,2021-05-10 23:50:26,1.584s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-10 23:50:26,2021-05-10 23:50:27,1.010s,PASSED
"click(findTestObject(""Object Repository/AddingBlog/Page_Mohamed Emad Mohamed Kassem Public profile/a_Blog entries""))",Chrome 90.0.4430.93,,,2021-05-10 23:50:27,2021-05-10 23:50:28,1.318s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-10 23:50:28,2021-05-10 23:50:29,1.010s,PASSED
"click(findTestObject(""Object Repository/AddingBlog/Page_SUCourse Mohamed Emad Mohamed Kassem Blog/a_Add a new entry""))",Chrome 90.0.4430.93,,,2021-05-10 23:50:29,2021-05-10 23:50:31,2.289s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-10 23:50:31,2021-05-10 23:50:32,1.013s,PASSED
"setText(findTestObject(""Object Repository/AddingBlog/Page_SUCourse Blogs Add a new entry/div_1 1""), ""1 <p>1</p>"")",Chrome 90.0.4430.93,,,2021-05-10 23:50:32,2021-05-10 23:50:33,0.803s,FAILED
