Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:27:48,2021-05-11 19:27:49,1.004s,PASSED
"click(findTestObject(""Object Repository/MyCourses(CS439)/Page_SUCourse/a_Login""))",Chrome 90.0.4430.93,,,2021-05-11 19:27:49,2021-05-11 19:27:50,1.148s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:27:50,2021-05-11 19:27:51,1.011s,PASSED
"click(findTestObject(""Object Repository/MyCourses(CS439)/Page_SUCourse Authentication choice/a_SUNet users (Sabanc University members)""))",Chrome 90.0.4430.93,,,2021-05-11 19:27:51,2021-05-11 19:27:53,2.279s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:27:53,2021-05-11 19:27:54,1.012s,PASSED
"setText(findTestObject(""Object Repository/MyCourses(CS439)/Page_Login - CAS  Central Authentication Service/input_U_username""), ""mohamedkassem"")",Chrome 90.0.4430.93,,,2021-05-11 19:27:54,2021-05-11 19:27:55,0.860s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:27:55,2021-05-11 19:27:56,1.017s,PASSED
"setEncryptedText(findTestObject(""Object Repository/MyCourses(CS439)/Page_Login - CAS  Central Authentication Service/input_P_password""), ""lsh4UT/KYs157Zjg3xgr3w=="")",Chrome 90.0.4430.93,,,2021-05-11 19:27:56,2021-05-11 19:27:57,0.576s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:27:57,2021-05-11 19:27:58,1.016s,PASSED
"click(findTestObject(""Object Repository/MyCourses(CS439)/Page_Login - CAS  Central Authentication Service/input_Remember Me_submit""))",Chrome 90.0.4430.93,,,2021-05-11 19:27:58,2021-05-11 19:28:01,2.773s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:28:01,2021-05-11 19:28:02,1.008s,PASSED
"click(findTestObject(""Object Repository/MyCourses(CS439)/Page_Dashboard/a_CS439-202002""))",Chrome 90.0.4430.93,,,2021-05-11 19:28:02,2021-05-11 19:28:03,1.143s,FAILED
,,,,,,,
Test Cases/CS439Forum,Chrome 90.0.4430.93,,,2021-05-11 19:28:03,2021-05-11 19:28:33,30.057s,PASSED
"openBrowser("""")",Chrome 90.0.4430.93,,,2021-05-11 19:28:04,2021-05-11 19:28:07,2.896s,PASSED
"navigateToUrl(""https://sucourse.sabanciuniv.edu/plus/"")",Chrome 90.0.4430.93,,,2021-05-11 19:28:07,2021-05-11 19:28:10,3.469s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:28:10,2021-05-11 19:28:11,1.006s,PASSED
"click(findTestObject(""Object Repository/CS439Forum/Page_SUCourse/a_Login""))",Chrome 90.0.4430.93,,,2021-05-11 19:28:11,2021-05-11 19:28:12,1.333s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:28:12,2021-05-11 19:28:13,1.010s,PASSED
"click(findTestObject(""Object Repository/CS439Forum/Page_SUCourse Authentication choice/a_SUNet users (Sabanc University members)""))",Chrome 90.0.4430.93,,,2021-05-11 19:28:13,2021-05-11 19:28:16,2.233s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:28:16,2021-05-11 19:28:17,1.019s,PASSED
"setText(findTestObject(""Object Repository/CS439Forum/Page_Login - CAS  Central Authentication Service/input_U_username""), ""mohamedkassem"")",Chrome 90.0.4430.93,,,2021-05-11 19:28:17,2021-05-11 19:28:17,0.813s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:28:17,2021-05-11 19:28:18,1.006s,PASSED
"setEncryptedText(findTestObject(""Object Repository/CS439Forum/Page_Login - CAS  Central Authentication Service/input_P_password""), ""lsh4UT/KYs157Zjg3xgr3w=="")",Chrome 90.0.4430.93,,,2021-05-11 19:28:18,2021-05-11 19:28:19,0.595s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:28:19,2021-05-11 19:28:20,1.014s,PASSED
"click(findTestObject(""Object Repository/CS439Forum/Page_Login - CAS  Central Authentication Service/input_Remember Me_submit""))",Chrome 90.0.4430.93,,,2021-05-11 19:28:20,2021-05-11 19:28:23,2.573s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:28:23,2021-05-11 19:28:24,1.009s,PASSED
"click(findTestObject(""Object Repository/CS439Forum/Page_Dashboard/a_CS439-202002""))",Chrome 90.0.4430.93,,,2021-05-11 19:28:24,2021-05-11 19:28:25,1.756s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:28:25,2021-05-11 19:28:26,1.005s,PASSED
"click(findTestObject(""Object Repository/CS439Forum/Page_Course CS439-202002/a_Forums""))",Chrome 90.0.4430.93,,,2021-05-11 19:28:26,2021-05-11 19:28:27,1.133s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:28:27,2021-05-11 19:28:29,1.016s,PASSED
"click(findTestObject(""Object Repository/CS439Forum/Page_CS439-202002 Forums/a_Discussion Board""))",Chrome 90.0.4430.93,,,2021-05-11 19:28:29,2021-05-11 19:28:30,1.294s,PASSED
delay(2),Chrome 90.0.4430.93,,,2021-05-11 19:28:30,2021-05-11 19:28:32,2.015s,PASSED
closeBrowser(),Chrome 90.0.4430.93,,,2021-05-11 19:28:32,2021-05-11 19:28:33,1.087s,PASSED
,,,,,,,
Test Cases/BrowserSessions,Chrome 90.0.4430.93,,,2021-05-11 19:28:33,2021-05-11 19:29:07,34.342s,PASSED
"openBrowser("""")",Chrome 90.0.4430.93,,,2021-05-11 19:28:34,2021-05-11 19:28:36,2.051s,PASSED
"navigateToUrl(""https://sucourse.sabanciuniv.edu/plus/"")",Chrome 90.0.4430.93,,,2021-05-11 19:28:36,2021-05-11 19:28:40,3.604s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:28:40,2021-05-11 19:28:41,1.021s,PASSED
"click(findTestObject(""Object Repository/BrowserSessions/Page_SUCourse/a_Login""))",Chrome 90.0.4430.93,,,2021-05-11 19:28:41,2021-05-11 19:28:42,1.475s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:28:42,2021-05-11 19:28:43,1.007s,PASSED
"click(findTestObject(""Object Repository/BrowserSessions/Page_SUCourse Authentication choice/a_SUNet users (Sabanc University members)""))",Chrome 90.0.4430.93,,,2021-05-11 19:28:43,2021-05-11 19:28:46,2.598s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:28:46,2021-05-11 19:28:47,1.012s,PASSED
"setText(findTestObject(""Object Repository/BrowserSessions/Page_Login - CAS  Central Authentication Service/input_U_username""), ""mohamedkassem"")",Chrome 90.0.4430.93,,,2021-05-11 19:28:47,2021-05-11 19:28:48,0.936s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:28:48,2021-05-11 19:28:49,1.003s,PASSED
"setEncryptedText(findTestObject(""Object Repository/BrowserSessions/Page_Login - CAS  Central Authentication Service/input_P_password""), ""lsh4UT/KYs157Zjg3xgr3w=="")",Chrome 90.0.4430.93,,,2021-05-11 19:28:49,2021-05-11 19:28:49,0.571s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:28:49,2021-05-11 19:28:50,1.020s,PASSED
"click(findTestObject(""Object Repository/BrowserSessions/Page_Login - CAS  Central Authentication Service/input_Remember Me_submit""))",Chrome 90.0.4430.93,,,2021-05-11 19:28:50,2021-05-11 19:28:53,3.041s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:28:53,2021-05-11 19:28:54,1.017s,PASSED
"click(findTestObject(""Object Repository/BrowserSessions/Page_Dashboard/span_Mohamed Emad Mohamed Kassem""))",Chrome 90.0.4430.93,,,2021-05-11 19:28:54,2021-05-11 19:28:55,0.758s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:28:55,2021-05-11 19:28:56,1.006s,PASSED
"click(findTestObject(""Object Repository/BrowserSessions/Page_Dashboard/span_Profile""))",Chrome 90.0.4430.93,,,2021-05-11 19:28:56,2021-05-11 19:28:57,1.260s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:28:57,2021-05-11 19:28:58,1.010s,PASSED
"click(findTestObject(""Object Repository/BrowserSessions/Page_Mohamed Emad Mohamed Kassem Public profile/a_Browser sessions""))",Chrome 90.0.4430.93,,,2021-05-11 19:28:58,2021-05-11 19:29:00,1.319s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:29:00,2021-05-11 19:29:01,1.013s,PASSED
"click(findTestObject(""Object Repository/BrowserSessions/Page_Browser sessions/a_156.213.215.40""))",Chrome 90.0.4430.93,,,2021-05-11 19:29:01,2021-05-11 19:29:02,1.238s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:29:02,2021-05-11 19:29:03,1.013s,PASSED
"click(findTestObject(""Object Repository/BrowserSessions/Page_IP address lookup 156.213.215.40 - Cai_411c07/img""))",Chrome 90.0.4430.93,,,2021-05-11 19:29:03,2021-05-11 19:29:03,0.438s,PASSED
delay(3),Chrome 90.0.4430.93,,,2021-05-11 19:29:03,2021-05-11 19:29:06,3.007s,PASSED
closeBrowser(),Chrome 90.0.4430.93,,,2021-05-11 19:29:06,2021-05-11 19:29:07,0.983s,PASSED
,,,,,,,
Test Cases/BlogEntries,Chrome 90.0.4430.93,,,2021-05-11 19:29:07,2021-05-11 19:29:39,31.269s,FAILED
"openBrowser("""")",Chrome 90.0.4430.93,,,2021-05-11 19:29:08,2021-05-11 19:29:10,2.070s,PASSED
"navigateToUrl(""https://sucourse.sabanciuniv.edu/plus/"")",Chrome 90.0.4430.93,,,2021-05-11 19:29:10,2021-05-11 19:29:14,3.732s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:29:14,2021-05-11 19:29:15,1.017s,PASSED
"click(findTestObject(""Object Repository/BlogEntries/Page_SUCourse/a_Login""))",Chrome 90.0.4430.93,,,2021-05-11 19:29:15,2021-05-11 19:29:16,1.376s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:29:16,2021-05-11 19:29:17,1.011s,PASSED
"click(findTestObject(""Object Repository/BlogEntries/Page_SUCourse Authentication choice/a_SUNet users (Sabanc University members)""))",Chrome 90.0.4430.93,,,2021-05-11 19:29:17,2021-05-11 19:29:19,2.256s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:29:19,2021-05-11 19:29:20,1.004s,PASSED
"setText(findTestObject(""Object Repository/BlogEntries/Page_Login - CAS  Central Authentication Service/input_U_username""), ""mohamedkassem"")",Chrome 90.0.4430.93,,,2021-05-11 19:29:20,2021-05-11 19:29:21,0.829s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:29:21,2021-05-11 19:29:22,1.015s,PASSED
"setEncryptedText(findTestObject(""Object Repository/BlogEntries/Page_Login - CAS  Central Authentication Service/input_P_password""), ""lsh4UT/KYs157Zjg3xgr3w=="")",Chrome 90.0.4430.93,,,2021-05-11 19:29:22,2021-05-11 19:29:23,0.614s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:29:23,2021-05-11 19:29:24,1.002s,PASSED
"click(findTestObject(""Object Repository/BlogEntries/Page_Login - CAS  Central Authentication Service/input_Remember Me_submit""))",Chrome 90.0.4430.93,,,2021-05-11 19:29:24,2021-05-11 19:29:27,2.926s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:29:27,2021-05-11 19:29:28,1.016s,PASSED
"click(findTestObject(""Object Repository/BlogEntries/Page_Dashboard/span_Mohamed Emad Mohamed Kassem""))",Chrome 90.0.4430.93,,,2021-05-11 19:29:28,2021-05-11 19:29:29,0.839s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:29:29,2021-05-11 19:29:30,1.019s,PASSED
"click(findTestObject(""Object Repository/BlogEntries/Page_Dashboard/span_Profile""))",Chrome 90.0.4430.93,,,2021-05-11 19:29:30,2021-05-11 19:29:31,1.239s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:29:31,2021-05-11 19:29:32,1.016s,PASSED
"click(findTestObject(""Object Repository/BlogEntries/Page_Mohamed Emad Mohamed Kassem Public profile/a_Blog entries""))",Chrome 90.0.4430.93,,,2021-05-11 19:29:32,2021-05-11 19:29:33,1.241s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:29:33,2021-05-11 19:29:34,1.015s,PASSED
"click(findTestObject(""Object Repository/BlogEntries/Page_SUCourse Mohamed Emad Mohamed Kassem Blog/a_Add a new entry""))",Chrome 90.0.4430.93,,,2021-05-11 19:29:34,2021-05-11 19:29:37,2.469s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:29:37,2021-05-11 19:29:38,1.012s,PASSED
"setText(findTestObject(""Object Repository/BlogEntries/Page_SUCourse Blogs Add a new entry/div_1 1""), ""1 <p>1</p>"")",Chrome 90.0.4430.93,,,2021-05-11 19:29:38,2021-05-11 19:29:39,0.774s,FAILED
,,,,,,,
Test Cases/SuCourseCalendar,Chrome 90.0.4430.93,,,2021-05-11 19:29:39,2021-05-11 19:31:15,1m - 36.187s,PASSED
"openBrowser("""")",Chrome 90.0.4430.93,,,2021-05-11 19:29:39,2021-05-11 19:29:42,3.049s,PASSED
"navigateToUrl(""https://sucourse.sabanciuniv.edu/plus/"")",Chrome 90.0.4430.93,,,2021-05-11 19:29:42,2021-05-11 19:29:46,3.700s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:29:46,2021-05-11 19:29:47,1.007s,PASSED
"click(findTestObject(""Object Repository/SuCourseCalendar/Page_SUCourse/a_Login""))",Chrome 90.0.4430.93,,,2021-05-11 19:29:47,2021-05-11 19:29:48,1.346s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:29:48,2021-05-11 19:29:49,1.010s,PASSED
"click(findTestObject(""Object Repository/SuCourseCalendar/Page_SUCourse Authentication choice/a_SUNet users (Sabanc University members)""))",Chrome 90.0.4430.93,,,2021-05-11 19:29:49,2021-05-11 19:29:52,2.251s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:29:52,2021-05-11 19:29:53,1.016s,PASSED
"setText(findTestObject(""Object Repository/SuCourseCalendar/Page_Login - CAS  Central Authentication Service/input_U_username""), ""mohamedkassem"")",Chrome 90.0.4430.93,,,2021-05-11 19:29:53,2021-05-11 19:29:54,0.810s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:29:54,2021-05-11 19:29:55,1.017s,PASSED
"setEncryptedText(findTestObject(""Object Repository/SuCourseCalendar/Page_Login - CAS  Central Authentication Service/input_P_password""), ""lsh4UT/KYs157Zjg3xgr3w=="")",Chrome 90.0.4430.93,,,2021-05-11 19:29:55,2021-05-11 19:29:55,0.544s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:29:55,2021-05-11 19:29:56,1.019s,PASSED
"click(findTestObject(""Object Repository/SuCourseCalendar/Page_Login - CAS  Central Authentication Service/input_Remember Me_submit""))",Chrome 90.0.4430.93,,,2021-05-11 19:29:56,2021-05-11 19:29:59,2.623s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:29:59,2021-05-11 19:30:00,1.015s,PASSED
"click(findTestObject(""Object Repository/SuCourseCalendar/Page_Dashboard/img_Skip Calendar_block-hider-hide""))",Chrome 90.0.4430.93,,,2021-05-11 19:30:00,2021-05-11 19:30:00,0.727s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:30:00,2021-05-11 19:30:01,1.009s,PASSED
"click(findTestObject(""Object Repository/SuCourseCalendar/Page_Dashboard/img_Skip Calendar_block-hider-show""))",Chrome 90.0.4430.93,,,2021-05-11 19:30:01,2021-05-11 19:30:02,0.458s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:30:02,2021-05-11 19:30:03,1.013s,PASSED
"click(findTestObject(""Object Repository/SuCourseCalendar/Page_Dashboard/h2_Calendar""))",Chrome 90.0.4430.93,,,2021-05-11 19:30:03,2021-05-11 19:30:35,32.526s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:30:35,2021-05-11 19:30:36,1.011s,PASSED
"click(findTestObject(""Object Repository/SuCourseCalendar/Page_Dashboard/h2_Calendar""))",Chrome 90.0.4430.93,,,2021-05-11 19:30:36,2021-05-11 19:31:08,31.726s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:31:08,2021-05-11 19:31:09,1.003s,PASSED
"click(findTestObject(""Object Repository/SuCourseCalendar/Page_Dashboard/a_May 2021""))",Chrome 90.0.4430.93,,,2021-05-11 19:31:09,2021-05-11 19:31:11,1.765s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:31:11,2021-05-11 19:31:12,1.007s,PASSED
"click(findTestObject(""Object Repository/SuCourseCalendar/Page_SUCourse Calendar Detailed month view _34c8e7/span_April 2021""))",Chrome 90.0.4430.93,,,2021-05-11 19:31:12,2021-05-11 19:31:13,0.721s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:31:13,2021-05-11 19:31:14,1.017s,PASSED
closeBrowser(),Chrome 90.0.4430.93,,,2021-05-11 19:31:14,2021-05-11 19:31:15,1.013s,PASSED
,,,,,,,
Test Cases/Messages,Chrome 90.0.4430.93,,,2021-05-11 19:31:15,2021-05-11 19:32:12,57.273s,PASSED
"openBrowser("""")",Chrome 90.0.4430.93,,,2021-05-11 19:31:16,2021-05-11 19:31:17,1.925s,PASSED
"navigateToUrl(""https://sucourse.sabanciuniv.edu/plus/"")",Chrome 90.0.4430.93,,,2021-05-11 19:31:17,2021-05-11 19:31:21,3.749s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:31:21,2021-05-11 19:31:22,1.015s,PASSED
"click(findTestObject(""Object Repository/Messages/Page_SUCourse/a_Login""))",Chrome 90.0.4430.93,,,2021-05-11 19:31:22,2021-05-11 19:31:23,1.166s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:31:23,2021-05-11 19:31:24,1.009s,PASSED
"click(findTestObject(""Object Repository/Messages/Page_SUCourse Authentication choice/a_SUNet users (Sabanc University members)""))",Chrome 90.0.4430.93,,,2021-05-11 19:31:24,2021-05-11 19:31:27,2.294s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:31:27,2021-05-11 19:31:28,1.014s,PASSED
"setText(findTestObject(""Object Repository/Messages/Page_Login - CAS  Central Authentication Service/input_U_username""), ""mohamedkassem"")",Chrome 90.0.4430.93,,,2021-05-11 19:31:28,2021-05-11 19:31:29,0.842s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:31:29,2021-05-11 19:31:30,1.020s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Messages/Page_Login - CAS  Central Authentication Service/input_P_password""), ""lsh4UT/KYs157Zjg3xgr3w=="")",Chrome 90.0.4430.93,,,2021-05-11 19:31:30,2021-05-11 19:31:30,0.633s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:31:30,2021-05-11 19:31:31,1.010s,PASSED
"click(findTestObject(""Object Repository/Messages/Page_Login - CAS  Central Authentication Service/input_Remember Me_submit""))",Chrome 90.0.4430.93,,,2021-05-11 19:31:31,2021-05-11 19:31:34,2.632s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:31:34,2021-05-11 19:31:35,1.005s,PASSED
"click(findTestObject(""Object Repository/Messages/Page_Dashboard/img_Courses_icon""))",Chrome 90.0.4430.93,,,2021-05-11 19:31:35,2021-05-11 19:31:36,0.870s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:31:36,2021-05-11 19:31:37,1.012s,PASSED
"click(findTestObject(""Object Repository/Messages/Page_Dashboard/div_See all""))",Chrome 90.0.4430.93,,,2021-05-11 19:31:37,2021-05-11 19:32:10,33.404s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:32:10,2021-05-11 19:32:11,1.005s,PASSED
closeBrowser(),Chrome 90.0.4430.93,,,2021-05-11 19:32:11,2021-05-11 19:32:12,0.882s,PASSED
,,,,,,,
Test Cases/Notifications,Chrome 90.0.4430.93,,,2021-05-11 19:32:12,2021-05-11 19:33:08,55.820s,PASSED
"openBrowser("""")",Chrome 90.0.4430.93,,,2021-05-11 19:32:13,2021-05-11 19:32:15,1.790s,PASSED
"navigateToUrl(""https://sucourse.sabanciuniv.edu/plus/"")",Chrome 90.0.4430.93,,,2021-05-11 19:32:15,2021-05-11 19:32:18,3.510s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:32:18,2021-05-11 19:32:19,1.017s,PASSED
"click(findTestObject(""Object Repository/Notifications/Notifications/Page_SUCourse/a_Login""))",Chrome 90.0.4430.93,,,2021-05-11 19:32:19,2021-05-11 19:32:21,1.410s,PASSED
delay(1),Chrome 90.0.4430.93,,,2021-05-11 19:32:21,2021-05-11 19:32:22,1.009s,PASSED
"click(findTestObject(""Object Repository/Notifications/Notifications/Page_SUCourse Authentication choice/a_SUNet users (Sabanc University members)""))",Chrome 90.0.4430.93,,,2021-05-11 19:32:22,2021-05-11 19:32:24,2.263s,PASSED
